Loss 10.4592, Prob 0.002528971 
Loss nan, Prob 0.00069215626 
Loss 8.8496, Prob 0.0016301703 
Loss nan, Prob 8.468244e-05 
Loss nan, Prob 0.0001594192 
Loss nan, Prob 6.163685e-05 
Loss nan, Prob 0.0008908259 
Loss 16.5718, Prob 0.00092206534 
Loss 11.7155, Prob 0.002074097 
Loss 11.1358, Prob 0.00068019866 
Loss 18.3168, Prob 0.001594989 
Loss nan, Prob 0.00012225196 
Loss nan, Prob 9.7919496e-05 
Loss nan, Prob 0.00014981243 
Loss 10.7966, Prob 0.00242161 
Loss nan, Prob 0.00012443587 
Loss 12.4335, Prob 0.0018697566 
Loss 12.6883, Prob 0.0010912642 
Loss 14.5235, Prob 0.0023032024 
Loss 13.1024, Prob 0.0010509416 
Loss 14.6096, Prob 0.001714994 
Loss nan, Prob 0.00026657933 
Loss 8.5292, Prob 0.0015835618 
Loss 6.4150, Prob 0.0024960632 
Loss 15.9744, Prob 0.0010278474 
Loss nan, Prob 0.00014904105 
Loss 12.1895, Prob 0.003133203 
Loss 12.3087, Prob 0.0030625595 
Loss nan, Prob 0.00012117025 
Loss nan, Prob 0.00015401175 
Loss nan, Prob 0.0011081572 
Loss 8.1692, Prob 0.0032059147 
Loss nan, Prob 4.0632774e-05 
Loss nan, Prob 0.0008198964 
Loss 15.2491, Prob 0.0026550991 
Loss nan, Prob 1.4816977e-05 
Loss 8.7839, Prob 0.001922764 
Loss 10.7714, Prob 0.001067708 
Loss nan, Prob 0.00077817385 
Loss 8.6353, Prob 0.0009993964 
Loss nan, Prob 0.0010455167 
Loss 15.2113, Prob 0.0008287813 
Loss 11.5049, Prob 0.0016544402 
Loss 12.0194, Prob 0.0016604833 
Loss 12.5690, Prob 0.00087005086 
Loss nan, Prob 0.000102039194 
Loss nan, Prob 0.0011023988 
Loss 17.2803, Prob 0.00092055375 
Loss 15.9730, Prob 0.0010812173 
Loss 12.7246, Prob 0.0031790077 
Loss nan, Prob 0.0002661866 
Loss 11.9832, Prob 0.002036584 
Loss nan, Prob 0.0010757778 
Loss 14.0933, Prob 0.0021284616 
Loss nan, Prob 4.2914984e-05 
Loss 14.5396, Prob 0.0010303054 
Loss 12.0782, Prob 0.002467559 
Loss 16.7188, Prob 0.0034916713 
Loss 12.2990, Prob 0.0020654872 
Loss nan, Prob 1.9333302e-05 
Loss 17.1522, Prob 0.0020385054 
Loss nan, Prob 0.00012268341 
Loss 15.4810, Prob 0.0011701998 
Loss nan, Prob 6.0456812e-05 
Loss 10.3918, Prob 0.00091234077 
Loss 12.0417, Prob 0.0010743227 
Loss 9.9348, Prob 0.0021260125 
Loss 10.5301, Prob 0.0018474597 
Loss 11.7213, Prob 0.0025593452 
Loss nan, Prob 2.4282339e-05 
Loss 15.3928, Prob 0.0029623904 
Loss 10.3686, Prob 0.0019206177 
Loss 10.9787, Prob 0.00076926086 
Loss 12.3826, Prob 0.0022337474 
Loss 15.4188, Prob 0.0007188385 
Loss 14.6761, Prob 0.0007588618 
Loss 12.1222, Prob 0.0018374787 
Loss 11.7126, Prob 0.0012133839 
Loss 14.6600, Prob 0.0011392647 
Loss 10.5760, Prob 0.0031686875 
Loss 10.5208, Prob 0.0040168585 
Loss nan, Prob 0.00016701312 
Loss 10.1435, Prob 0.0031965848 
Loss 15.0316, Prob 0.002970224 
Loss 16.3828, Prob 0.0027117026 
Loss 10.0599, Prob 0.0025696284 
Loss 12.7908, Prob 0.0021719756 
Loss 12.1790, Prob 0.0010879633 
Loss 13.9594, Prob 0.0022138255 
Loss 7.5586, Prob 0.0019361835 
Loss nan, Prob 0.00023924516 
Loss 13.7269, Prob 0.0017304155 
Loss 3.2659, Prob 0.00093352835 
Loss 15.2889, Prob 0.0037495857 
Loss 13.7728, Prob 0.0010433516 
Loss 15.4206, Prob 0.0008656068 
Loss 9.4545, Prob 0.003741501 
Loss 13.2426, Prob 0.001430263 
Loss 12.2919, Prob 0.0011913723 
Loss nan, Prob 0.00082886894 
Loss 14.9034, Prob 0.00082210754 
Loss nan, Prob 0.00019154517 
Loss 14.2736, Prob 0.0019953845 
Loss nan, Prob 0.0010688578 
Loss 14.0799, Prob 0.0010817543 
